"unidad_militar","superior_directo","autorizacion"
"Batallón-1","Coronel A","Permiso para desplegar servidores en zona de combate"
"Brigada-2","General B","Permiso para operar servidores de reconocimiento"
"Regimiento-3","Teniente C","Permiso para realizar misiones de vigilancia con servidores"
"Batallón-4","Capitán D","Permiso para realizar ataques aéreos desde servidores"
"Brigada-5","Mayor E","Permiso para realizar operaciones de rescate con servidores"
"Regimiento-6","Teniente F","Permiso para realizar misiones de inteligencia con servidores"
"Batallón-7","Coronel G","Permiso para realizar operaciones de logística con servidores"
"Brigada-8","General H","Permiso para realizar misiones de apoyo aéreo con servidores"
"Regimiento-9","Mayor I","Permiso para realizar operaciones de evacuación con servidores"
"Batallón-10","Capitán J","Permiso para realizar misiones de patrullaje con servidores"
